diff flag,cas,nata.name,epa_list_name,trv_chem,epa-ure_ug-1m3,epa_inv_ure,trv_can1_ugm.3,epa_rfc_mg.3,epa_rfc_ug.m3,trv_noncan1_ugm.3,monitored by lab?
can_diff,79-06-1,ACRYLAMIDE,Acrylamide,Acrylamide,0.00016,0.00625,0.01,0.006,6,6,No
,79-10-7,ACRYLIC ACID,Acrylic acid,Acrylic acid, ,, ,0.001,1,1,No
can_diff,79-46-9,2-NITROPROPANE,2-Nitropropane,2-Nitropropane,0.0000056,0.178571429, ,0.02,20,20,No
,80-62-6,METHYL METHACRYLATE,Methyl methacrylate,Methyl methacrylate, ,, ,0.7,700,700,Yes
hi_diff,822-06-0,HEXAMETHYLENE DIISOCYANATE,"Hexamethylene-1,6-diisocyanate","Hexamethylene-1,6-diisocyanate", ,, ,0.00001,0.01,0.069,No
hi_diff,87-68-3,HEXACHLOROBUTADIENE,Hexachlorobutadiene,Hexachlorobutadiene,0.000022,0.045454545,0.045454545,0.09,90,,No
hi_diff,87-86-5,PENTACHLOROPHENOL,Pentachlorophenol,Pentachlorophenol,0.0000051,0.196078431,0.196078431,0.1,100,,No
can_diff,88-06-2,"2,4,6-TRICHLOROPHENOL","2,4,6-Trichlorophenol","2,4,6-Trichlorophenol",0.0000031,0.322580645,0.05, ,,,No
,91-20-3,NAPHTHALENE,Naphthalene,Naphthalene,0.000034,0.029411765,0.029411765,0.003,3,3.7,Yes
can_diff,95-53-4,O-TOLUIDINE,o-Toluidine,o-Toluidine,0.000051,0.019607843, , ,,,No
,98-82-8,CUMENE,Cumene,Isopropylbenzene (Cumene), ,, ,0.4,400,400,No
,98-95-3,NITROBENZENE,Nitrobenzene,Nitrobenzene,0.00004,0.025,0.025,0.009,9,9,No
can_diff,DIESEL EMIS.,DIESEL PM,Diesel engine emissions,Diesel Particulate Matter, ,,0.1,0.005,5,5,Yes? No?
